GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-redis-demo,com.purplevarun.springredisdemo.service,CacheStatsService,0,102,0,6,0,23,0,9,0,6
spring-redis-demo,com.purplevarun.springredisdemo.service,NumberService,0,25,0,0,0,7,0,3,0,3
spring-redis-demo,com.purplevarun.springredisdemo.model,NumberEntry,12,28,0,0,4,10,3,6,3,6
spring-redis-demo,com.purplevarun.springredisdemo.dto,NumberRequest,0,16,0,0,0,6,0,4,0,4
spring-redis-demo,com.purplevarun.springredisdemo.dto,CacheStatsResponse,0,21,0,0,0,8,0,4,0,4
spring-redis-demo,com.purplevarun.springredisdemo.config,CacheConfig,28,0,0,0,10,0,2,0,2,0
spring-redis-demo,com.purplevarun.springredisdemo.config,LoggingCache,0,106,0,4,0,31,0,15,0,13
spring-redis-demo,com.purplevarun.springredisdemo.config,CacheConfig.new CacheManager() {...},32,0,2,0,4,0,4,0,3,0
spring-redis-demo,com.purplevarun.springredisdemo,SpringRedisDemoApplication,5,3,0,0,2,1,1,1,1,1
spring-redis-demo,com.purplevarun.springredisdemo.controller,NumberController,0,26,0,0,0,8,0,3,0,3
spring-redis-demo,com.purplevarun.springredisdemo.controller,CacheController,0,22,0,0,0,7,0,3,0,3
